Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1403078,-0.28,-0.47,0.46,0.08,9.88
1403088,-0.35,-0.54,0.38,-0.01,9.95
1403098,-0.46,-0.62,0.32,-0.03,9.95
1403108,-0.54,-0.75,0.39,0.00,9.91
1403118,-0.57,-0.88,0.38,-0.00,9.84
1403128,-0.63,-0.95,0.30,0.07,9.91
1403138,-0.75,-1.08,0.40,0.11,9.78
1403148,-0.82,-1.13,0.38,0.20,9.78
1403158,-0.86,-1.24,0.48,0.21,9.78
1403168,-0.93,-1.23,0.55,0.33,9.67
1403178,-0.96,-1.17,0.52,0.20,9.69
1403188,-1.00,-1.07,0.48,0.12,9.84
1403198,-1.13,-1.06,0.42,0.14,9.94
1403208,-1.18,-1.03,0.42,0.15,9.94
1403218,-1.19,-0.98,0.41,0.28,9.68
1403228,-1.21,-1.01,0.36,0.31,9.91
1403238,-1.22,-1.08,0.37,0.36,9.74
1403248,-1.28,-1.19,0.34,0.07,9.90
1403258,-1.28,-1.26,0.26,-0.22,9.87
1403268,-1.31,-1.48,0.41,-0.30,9.93
1403278,-1.32,-1.49,0.40,-0.48,9.85
1403288,-1.42,-1.57,0.40,-0.29,9.86
1403298,-1.46,-1.67,0.33,-0.14,9.76
1403308,-1.56,-1.76,0.34,0.25,9.90
1403318,-1.60,-1.79,0.42,0.52,9.84
1403328,-1.62,-1.86,0.42,0.82,9.88
1403338,-1.70,-1.91,0.30,0.73,9.82
1403348,-1.68,-1.94,0.61,0.43,9.77
1403358,-1.74,-1.84,0.36,-0.13,9.80
1403368,-1.74,-1.79,0.32,-0.43,9.87
1403378,-1.83,-1.80,0.47,-0.77,9.75
1403388,-1.80,-1.73,0.27,-0.43,9.94
1403398,-1.84,-1.68,0.43,0.15,9.93
1403408,-1.85,-1.71,0.33,0.85,9.40
1403418,-1.83,-1.71,0.38,0.98,9.77
1403428,-1.83,-1.76,0.31,0.93,9.70
1403438,-1.78,-1.79,0.35,0.27,9.66
1403448,-1.69,-1.77,0.26,-0.15,10.02
1403458,-1.74,-1.78,0.23,-0.84,9.68
